!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E6'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E6T1243	12.43	534.0665	1	1311.9967	1	3080.868	1	35518.7732	1
E6T1244	12.44	533.2657	1	1313.585	1	3081.076	1	35520.3132	1
E6T1245	12.45	532.4635	1	1315.1715	1	3081.2839	1	35521.8563	1
E6T1246	12.46	531.6599	1	1316.7564	1	3081.4916	1	35523.4024	1
E6T1247	12.47	530.855	1	1318.3395	1	3081.6991	1	35524.9515	1
E6T1248	12.48	530.0488	1	1319.9209	1	3081.9064	1	35526.5036	1
E6T1249	12.49	529.2412	1	1321.5006	1	3082.1136	1	35528.0586	1
E6T1250	12.5	528.4324	1	1323.0785	1	3082.3206	1	35529.6165	1
E6T1251	12.51	527.6223	1	1324.6547	1	3082.5274	1	35531.1773	1
E6T1252	12.52	526.811	1	1326.2292	1	3082.734	1	35532.741	1
E6T1253	12.53	525.9985	1	1327.802	1	3082.9404	1	35534.3075	1
E6T1254	12.54	525.1848	1	1329.373	1	3083.1467	1	35535.8768	1
E6T1255	12.55	524.37	1	1330.9423	1	3083.3528	1	35537.4489	1
E6T1256	12.56	523.554	1	1332.5098	1	3083.5586	1	35539.0237	1
E6T1257	12.57	522.7369	1	1334.0756	1	3083.7643	1	35540.6013	1
E6T1258	12.58	521.9188	1	1335.6396	1	3083.9698	1	35542.1816	1
E6T1259	12.59	521.0996	1	1337.2019	1	3084.1752	1	35543.7646	1
E6T1260	12.6	520.2793	1	1338.7625	1	3084.3803	1	35545.3503	1
E6T1261	12.61	519.4581	1	1340.3213	1	3084.5852	1	35546.9386	1
E6T1262	12.62	518.6359	1	1341.8783	1	3084.7899	1	35548.5295	1
E6T1263	12.63	517.8127	1	1343.4336	1	3084.9945	1	35550.123	1
E6T1264	12.64	516.9885	1	1344.9871	1	3085.1988	1	35551.7191	1
E6T1265	12.65	516.1635	1	1346.5389	1	3085.403	1	35553.3177	1
E6T1266	12.66	515.3375	1	1348.0889	1	3085.6069	1	35554.9189	1
E6T1267	12.67	514.5107	1	1349.6372	1	3085.8107	1	35556.5225	1
E6T1268	12.68	513.6831	1	1351.1836	1	3086.0142	1	35558.1286	1
E6T1269	12.69	512.8546	1	1352.7284	1	3086.2176	1	35559.7372	1
E6T1270	12.7	512.0253	1	1354.2713	1	3086.4207	1	35561.3482	1
E6T1271	12.71	511.1953	1	1355.8125	1	3086.6237	1	35562.9617	1
E6T1272	12.72	510.3645	1	1357.3519	1	3086.8264	1	35564.5775	1
E6T1273	12.73	509.5329	1	1358.8895	1	3087.0289	1	35566.1957	1
E6T1274	12.74	508.7006	1	1360.4254	1	3087.2313	1	35567.8163	1
E6T1275	12.75	507.8677	1	1361.9595	1	3087.4334	1	35569.4391	1
E6T1276	12.76	507.0341	1	1363.4918	1	3087.6353	1	35571.0643	1
E6T1277	12.77	506.1998	1	1365.0224	1	3087.837	1	35572.6918	1
E6T1278	12.78	505.3649	1	1366.5511	1	3088.0385	1	35574.3216	1
E6T1279	12.79	504.5294	1	1368.0781	1	3088.2397	1	35575.9536	1
E6T1280	12.8	503.6934	1	1369.6033	1	3088.4408	1	35577.5878	1
E6T1281	12.81	502.8567	1	1371.1267	1	3088.6417	1	35579.2242	1
E6T1282	12.82	502.0195	1	1372.6484	1	3088.8423	1	35580.8629	1
E6T1283	12.83	501.1818	1	1374.1682	1	3089.0427	1	35582.5037	1
E6T1284	12.84	500.3436	1	1375.6863	1	3089.2429	1	35584.1466	1
E6T1285	12.85	499.5049	1	1377.2026	1	3089.4429	1	35585.7917	1
E6T1286	12.86	498.6658	1	1378.7171	1	3089.6426	1	35587.4389	1
E6T1287	12.87	497.8262	1	1380.2298	1	3089.8422	1	35589.0882	1
E6T1288	12.88	496.9862	1	1381.7407	1	3090.0415	1	35590.7396	1
E6T1289	12.89	496.1458	1	1383.2499	1	3090.2406	1	35592.3931	1
E6T1290	12.9	495.305	1	1384.7572	1	3090.4395	1	35594.0485	1
E6T1291	12.91	494.4639	1	1386.2628	1	3090.6382	1	35595.706	1
E6T1292	12.92	493.6224	1	1387.7666	1	3090.8366	1	35597.3655	1
E6T1293	12.93	492.7806	1	1389.2685	1	3091.0348	1	35599.027	1
E6T1294	12.94	491.9384	1	1390.7687	1	3091.2328	1	35600.6905	1
E6T1295	12.95	491.096	1	1392.2671	1	3091.4306	1	35602.3559	1
E6T1296	12.96	490.2534	1	1393.7637	1	3091.6281	1	35604.0233	1
E6T1297	12.97	489.4105	1	1395.2585	1	3091.8254	1	35605.6926	1
E6T1298	12.98	488.5673	1	1396.7515	1	3092.0225	1	35607.3637	1
E6T1299	12.99	487.724	1	1398.2427	1	3092.2193	1	35609.0368	1
E6T1300	13	486.8804	1	1399.7322	1	3092.416	1	35610.7117	1
E6T1301	13.01	486.0367	1	1401.2198	1	3092.6123	1	35612.3885	1
E6T1302	13.02	485.1929	1	1402.7056	1	3092.8085	1	35614.0671	1
E6T1303	13.03	484.3489	1	1404.1896	1	3093.0044	1	35615.7476	1
E6T1304	13.04	483.5047	1	1405.6719	1	3093.2001	1	35617.4298	1
E6T1305	13.05	482.6605	1	1407.1523	1	3093.3956	1	35619.1138	1
E6T1306	13.06	481.8162	1	1408.6309	1	3093.5908	1	35620.7996	1
E6T1307	13.07	480.9718	1	1410.1078	1	3093.7858	1	35622.4872	1
E6T1308	13.08	480.1274	1	1411.5828	1	3093.9806	1	35624.1765	1
E6T1309	13.09	479.2829	1	1413.0561	1	3094.1751	1	35625.8675	1
E6T1310	13.1	478.4385	1	1414.5275	1	3094.3694	1	35627.5602	1
E6T1311	13.11	477.594	1	1415.9972	1	3094.5634	1	35629.2546	1
E6T1312	13.12	476.7496	1	1417.465	1	3094.7572	1	35630.9507	1
E6T1313	13.13	475.9052	1	1418.9311	1	3094.9508	1	35632.6485	1
E6T1314	13.14	475.0608	1	1420.3953	1	3095.1441	1	35634.3479	1
E6T1315	13.15	474.2165	1	1421.8578	1	3095.3372	1	35636.049	1
E6T1316	13.16	473.3723	1	1423.3184	1	3095.5301	1	35637.7517	1
E6T1317	13.17	472.5282	1	1424.7773	1	3095.7227	1	35639.4559	1
E6T1318	13.18	471.6842	1	1426.2343	1	3095.9151	1	35641.1618	1
E6T1319	13.19	470.8404	1	1427.6891	1	3096.1071	1	35642.8697	1
E6T1320	13.2	469.9967	1	1429.142	1	3096.2989	1	35644.5791	1
E6T1321	13.21	469.1532	1	1430.5931	1	3096.4905	1	35646.2902	1
E6T1322	13.22	468.3099	1	1432.0427	1	3096.6819	1	35648.0024	1
E6T1323	13.23	467.4668	1	1433.4907	1	3096.873	1	35649.7161	1
E6T1324	13.24	466.6238	1	1434.9369	1	3097.0639	1	35651.4312	1
E6T1325	13.25	465.7811	1	1436.3813	1	3097.2546	1	35653.1478	1
