!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignement	!Interpolation	!Type	!Location	!IsInput
S88	PP2B_CaM	nanomolarity	0	false	false	false	kinetic	Spine	false
S89	PP2B_CaM_Ca2	nanomolarity	0	false	false	false	kinetic	Spine	false
S90	pARPP21	nanomolarity	0	false	false	false	kinetic	Spine	false
S91	ARPP21	nanomolarity	20000	false	false	false	kinetic	Spine	false
S92	pCaMKII_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S93	pCaMKII_CaM_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S94	pCaMKII_CaM_Ca2_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S95	pCaMKII_CaM_Ca4_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S96	CaMKII_CaM_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S97	CaMKII_CaM_Ca2_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S98	CaMKII_CaM_Ca4_psd_Substrate	nanomolarity	0	false	false	false	kinetic	Spine	false
