1.009700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.010900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.010900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.011900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.011900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.012900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.012900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.013800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.013800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
