!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E3'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E3T101	1.01	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T102	1.02	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T103	1.03	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T104	1.04	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T105	1.05	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T106	1.06	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T107	1.07	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T108	1.08	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T109	1.09	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T110	1.1	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T111	1.11	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T112	1.12	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T113	1.13	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T114	1.14	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T115	1.15	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T116	1.16	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T117	1.17	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T118	1.18	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T119	1.19	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T120	1.2	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T121	1.21	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T122	1.22	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T123	1.23	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T124	1.24	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T125	1.25	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T126	1.26	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T127	1.27	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T128	1.28	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T129	1.29	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T130	1.3	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T131	1.31	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T132	1.32	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T133	1.33	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T134	1.34	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T135	1.35	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1
E3T136	1.36	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T137	1.37	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T138	1.38	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T139	1.39	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T140	1.4	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T141	1.41	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T142	1.42	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T143	1.43	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T144	1.44	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T145	1.45	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T146	1.46	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T147	1.47	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T148	1.48	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T149	1.49	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T150	1.5	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T151	1.51	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T152	1.52	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T153	1.53	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T154	1.54	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
E3T155	1.55	84.4788	1	2672.0895	1	3200.5265	1	36817.5165	1
