!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1I' TableTitle='D1_LTP_time_window_SBtab E1I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E1IT384	3.84	60	3.84	22.6608
E1IT385	3.85	60	3.85	22.5995
E1IT386	3.86	60	3.86	22.5396
E1IT387	3.87	60	3.87	22.4811
E1IT388	3.88	60	3.88	22.424
E1IT389	3.89	60	3.89	22.3682
E1IT390	3.9	60	3.9	22.3136
E1IT391	3.91	60	3.91	22.2604
E1IT392	3.92	60	3.92	22.2083
E1IT393	3.93	60	3.93	22.1574
E1IT394	3.94	60	3.94	22.1078
E1IT395	3.95	60	3.95	22.0592
E1IT396	3.96	60	3.96	22.0118
E1IT397	3.97	60	3.97	21.9655
E1IT398	3.98	60	3.98	21.9202
E1IT399	3.99	60	3.99	21.876
E1IT400	4	60	4	21.8328
E1IT401	4.01	469.7477	4.01	21.7905
E1IT402	4.02	854.1237	4.02	21.7493
E1IT403	4.03	1067.3445	4.03	21.709
E1IT404	4.04	1169.2297	4.04	21.6697
E1IT405	4.05	1199.7565	4.05	21.6312
E1IT406	4.06	1185.553	4.06	21.5936
E1IT407	4.07	1144.2751	4.07	21.5569
E1IT408	4.08	1087.5545	4.08	21.5211
E1IT409	4.09	1022.9852	4.09	21.486
E1IT410	4.1	689.7921	4.1	21.4518
E1IT411	4.11	1353.0726	4.11	21.4184
E1IT412	4.12	1749.6223	4.12	21.3857
E1IT413	4.13	1970.8067	4.13	21.3538
E1IT414	4.14	2077.8384	4.14	21.3226
E1IT415	4.15	2111.6316	4.15	21.2922
E1IT416	4.16	2089.2299	4.16	21.2624
E1IT417	4.17	2017.0653	4.17	21.2333
E1IT418	4.18	1916.1253	4.18	21.2049
E1IT419	4.19	1800.4228	4.19	21.1772
E1IT420	4.2	1678.9953	4.2	21.1501
E1IT421	4.21	1755.6604	4.21	21.1236
E1IT422	4.22	2277.0584	4.22	21.0977
E1IT423	4.23	2580.1447	4.23	21.0724
E1IT424	4.24	2740.3204	4.24	21.0477
E1IT425	4.25	2808.0501	4.25	21.0236
E1IT426	4.26	2814.2054	4.26	21
E1IT427	4.27	2747.8887	4.27	20.977
E1IT428	4.28	2629.407	4.28	20.9545
E1IT429	4.29	2482.298	4.29	20.9325
E1IT430	4.3	2321.8527	4.3	20.911
E1IT431	4.31	2397.9006	4.31	20.89
E1IT432	4.32	2919.5468	4.32	20.8696
E1IT433	4.33	3222.7963	4.33	20.8495
E1IT434	4.34	3383.0782	4.34	20.83
E1IT435	4.35	3450.8761	4.35	20.8108
E1IT436	4.36	3455.9805	4.36	20.7922
E1IT437	4.37	3374.2893	4.37	20.7739
E1IT438	4.38	3228.2452	4.38	20.7561
E1IT439	4.39	3046.8819	4.39	20.7387
E1IT440	4.4	2849.0611	4.4	20.7217
E1IT441	4.41	2780.8742	4.41	20.7051
E1IT442	4.42	3360.075	4.42	20.6888
E1IT443	4.43	3701.1966	4.43	20.673
E1IT444	4.44	3886.1612	4.44	20.6575
E1IT445	4.45	3969.8235	4.45	20.6423
E1IT446	4.46	3988.228	4.46	20.6275
E1IT447	4.47	3914.8549	4.47	20.6131
E1IT448	4.48	3758.2891	4.48	20.5989
E1IT449	4.49	3555.1321	4.49	20.5852
E1IT450	4.5	3329.2214	4.5	20.5717
E1IT451	4.51	3093.4762	4.51	20.5585
E1IT452	4.52	3738.564	4.52	20.5456
E1IT453	4.53	4123.1112	4.53	20.5331
E1IT454	4.54	4336.4439	4.54	20.5208
E1IT455	4.55	4438.4015	4.55	20.5088
E1IT456	4.56	4468.9741	4.56	20.4971
E1IT457	4.57	4413.4392	4.57	20.4856
E1IT458	4.58	4253.8514	4.58	20.4745
E1IT459	4.59	4034.5059	4.59	20.4635
E1IT460	4.6	3784.7847	4.6	20.4529
E1IT461	4.61	3523.6205	4.61	20.4424
E1IT462	4.62	3683.8756	4.62	20.4322
E1IT463	4.63	4171.4906	4.63	20.4223
E1IT464	4.64	4452.3779	4.64	20.4126
E1IT465	4.65	4598.1147	4.65	20.4031
E1IT466	4.66	4656.5914	4.66	20.3938
E1IT467	4.67	4648.0245	4.67	20.3847
E1IT468	4.68	4523.1999	4.68	20.3758
E1IT469	4.69	4317.4259	4.69	20.3672
E1IT470	4.7	4067.862	4.7	20.3587
E1IT471	4.71	3798.608	4.71	20.3505
E1IT472	4.72	3627.6852	4.72	20.3424
E1IT473	4.73	4247.3951	4.73	20.3345
E1IT474	4.74	4615.2078	4.74	20.3268
E1IT475	4.75	4817.6009	4.75	20.3193
E1IT476	4.76	4912.4961	4.76	20.3119
E1IT477	4.77	4938.5929	4.77	20.3047
E1IT478	4.78	4866.083	4.78	20.2977
E1IT479	4.79	4682.569	4.79	20.2909
E1IT480	4.8	4436.1234	4.8	20.2842
E1IT481	4.81	4158.1355	4.81	20.2776
E1IT482	4.82	3371.3411	4.82	20.2712
E1IT483	4.83	4123.7672	4.83	20.265
E1IT484	4.84	4579.1944	4.84	20.2589
E1IT485	4.85	4838.9549	4.85	20.2529
E1IT486	4.86	4970.9724	4.86	20.2471
E1IT487	4.87	5020.6783	4.87	20.2414
E1IT488	4.88	4997.1434	4.88	20.2358
E1IT489	4.89	4848.1838	4.89	20.2304
E1IT490	4.9	4618.1813	4.9	20.2251
E1IT491	4.91	4345.0321	4.91	20.2199
E1IT492	4.92	4053.2701	4.92	20.2149
E1IT493	4.93	4216.2798	4.93	20.2099
E1IT494	4.94	4702.7756	4.94	20.2051
