!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1' TableTitle='D1_LTP_time_window_SBtab E1' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E1T127	1.27	84.4801	0.8448	2671.3412	26.7134	3200.5252	32.0053	36814.9275	368.1493
E1T128	1.28	84.4804	0.8448	2671.1767	26.7118	3200.5248	32.0052	36814.4085	368.1441
E1T129	1.29	84.4808	0.84481	2670.9814	26.7098	3200.5244	32.0052	36813.8007	368.138
E1T130	1.3	84.4813	0.84481	2670.7503	26.7075	3200.5239	32.0052	36813.092	368.1309
E1T131	1.31	84.4818	0.84482	2670.4782	26.7048	3200.5233	32.0052	36812.2688	368.1227
E1T132	1.32	84.4825	0.84483	2670.1589	26.7016	3200.5226	32.0052	36811.3169	368.1132
E1T133	1.33	84.4833	0.84483	2669.7857	26.6979	3200.5217	32.0052	36810.221	368.1022
E1T134	1.34	84.4843	0.84484	2669.3514	26.6935	3200.5206	32.0052	36808.9651	368.0897
E1T135	1.35	84.4854	0.84485	2668.848	26.6885	3200.5193	32.0052	36807.5329	368.0753
E1T136	1.36	84.4867	0.84487	2668.2671	26.6827	3200.5177	32.0052	36805.9077	368.0591
E1T137	1.37	84.4883	0.84488	2667.5995	26.676	3200.5159	32.0052	36804.0731	368.0407
E1T138	1.38	84.4901	0.8449	2666.8358	26.6684	3200.5138	32.0051	36802.0133	368.0201
E1T139	1.39	84.4923	0.84492	2665.9664	26.6597	3200.5113	32.0051	36799.7129	367.9971
E1T140	1.4	84.4947	0.84495	2664.9811	26.6498	3200.5083	32.0051	36797.1579	367.9716
E1T141	1.41	84.4976	0.84498	2663.87	26.6387	3200.5049	32.005	36794.3355	367.9434
E1T142	1.42	84.5009	0.84501	2662.623	26.6262	3200.5009	32.005	36791.2346	367.9123
E1T143	1.43	84.5047	0.84505	2661.2304	26.6123	3200.4962	32.005	36787.8454	367.8785
E1T144	1.44	84.509	0.84509	2659.6826	26.5968	3200.4909	32.0049	36784.16	367.8416
E1T145	1.45	84.5139	0.84514	2657.9705	26.5797	3200.4848	32.0048	36780.1723	367.8017
E1T146	1.46	84.5195	0.84519	2656.0856	26.5609	3200.4778	32.0048	36775.8778	367.7588
E1T147	1.47	84.5257	0.84526	2654.02	26.5402	3200.4698	32.0047	36771.2737	367.7127
E1T148	1.48	84.5328	0.84533	2651.7665	26.5177	3200.4608	32.0046	36766.3588	367.6636
E1T149	1.49	84.5407	0.84541	2649.3186	26.4932	3200.4507	32.0045	36761.1336	367.6113
E1T150	1.5	84.5495	0.84549	2646.6707	26.4667	3200.4392	32.0044	36755.5995	367.556
E1T151	1.51	84.5592	0.84559	2643.8181	26.4382	3200.4264	32.0043	36749.7597	367.4976
E1T152	1.52	84.57	0.8457	2640.7568	26.4076	3200.412	32.0041	36743.6179	367.4362
E1T153	1.53	84.582	0.84582	2637.4838	26.3748	3200.3961	32.004	36737.1794	367.3718
E1T154	1.54	84.5951	0.84595	2633.9968	26.34	3200.3784	32.0038	36730.4499	367.3045
E1T155	1.55	84.6094	0.84609	2630.2946	26.3029	3200.3589	32.0036	36723.4363	367.2344
E1T156	1.56	84.6251	0.84625	2626.3764	26.2638	3200.3375	32.0034	36716.1459	367.1615
E1T157	1.57	84.6421	0.84642	2622.2424	26.2224	3200.314	32.0031	36708.5866	367.0859
E1T158	1.58	84.6606	0.84661	2617.8936	26.1789	3200.2882	32.0029	36700.7672	367.0077
E1T159	1.59	84.6806	0.84681	2613.3316	26.1333	3200.2602	32.0026	36692.6965	366.927
E1T160	1.6	84.7022	0.84702	2608.5588	26.0856	3200.2298	32.0023	36684.3839	366.8438
E1T161	1.61	84.7254	0.84725	2603.5779	26.0358	3200.1969	32.002	36675.839	366.7584
E1T162	1.62	84.7503	0.8475	2598.3926	25.9839	3200.1613	32.0016	36667.0719	366.6707
E1T163	1.63	84.7769	0.84777	2593.0069	25.9301	3200.123	32.0012	36658.0924	366.5809
E1T164	1.64	84.8054	0.84805	2587.4254	25.8743	3200.0819	32.0008	36648.911	366.4891
E1T165	1.65	84.8357	0.84836	2581.6529	25.8165	3200.0379	32.0004	36639.5378	366.3954
E1T166	1.66	84.8679	0.84868	2575.6949	25.7569	3199.991	31.9999	36629.9831	366.2998
E1T167	1.67	84.9021	0.84902	2569.5571	25.6956	3199.9409	31.9994	36620.2572	366.2026
E1T168	1.68	84.9382	0.84938	2563.2456	25.6325	3199.8877	31.9989	36610.3702	366.1037
E1T169	1.69	84.9764	0.84976	2556.7667	25.5677	3199.8314	31.9983	36600.3323	366.0033
E1T170	1.7	85.0167	0.85017	2550.1268	25.5013	3199.7717	31.9977	36590.1533	365.9015
E1T171	1.71	85.059	0.85059	2543.3328	25.4333	3199.7088	31.9971	36579.8429	365.7984
E1T172	1.72	85.1035	0.85104	2536.3915	25.3639	3199.6425	31.9964	36569.4106	365.6941
E1T173	1.73	85.1502	0.8515	2529.3098	25.2931	3199.5728	31.9957	36558.8654	365.5887
E1T174	1.74	85.1991	0.85199	2522.0948	25.2209	3199.4997	31.995	36548.2163	365.4822
E1T175	1.75	85.2502	0.8525	2514.7536	25.1475	3199.4232	31.9942	36537.4718	365.3747
E1T176	1.76	85.3035	0.85304	2507.2931	25.0729	3199.3432	31.9934	36526.6401	365.2664
E1T177	1.77	85.3591	0.85359	2499.7204	24.9972	3199.2597	31.9926	36515.729	365.1573
E1T178	1.78	85.417	0.85417	2492.0424	24.9204	3199.1727	31.9917	36504.746	365.0475
E1T179	1.79	85.4772	0.85477	2484.266	24.8427	3199.0823	31.9908	36493.6981	364.937
E1T180	1.8	85.5396	0.8554	2476.3979	24.764	3198.9884	31.9899	36482.5919	364.8259
E1T181	1.81	85.6044	0.85604	2468.4446	24.6844	3198.891	31.9889	36471.4338	364.7143
E1T182	1.82	85.6715	0.85672	2460.4127	24.6041	3198.7902	31.9879	36460.2295	364.6023
E1T183	1.83	85.7409	0.85741	2452.3082	24.5231	3198.6861	31.9869	36448.9846	364.4898
E1T184	1.84	85.8127	0.85813	2444.1373	24.4414	3198.5785	31.9858	36437.7039	364.377
E1T185	1.85	85.8867	0.85887	2435.9057	24.3591	3198.4676	31.9847	36426.3922	364.2639
E1T186	1.86	85.9631	0.85963	2427.619	24.2762	3198.3535	31.9835	36415.0537	364.1505
E1T187	1.87	86.0418	0.86042	2419.2826	24.1928	3198.236	31.9824	36403.6924	364.0369
E1T188	1.88	86.1229	0.86123	2410.9016	24.109	3198.1154	31.9812	36392.3118	363.9231
E1T189	1.89	86.2062	0.86206	2402.4807	24.0248	3197.9917	31.9799	36380.9152	363.8092
E1T190	1.9	86.2919	0.86292	2394.0247	23.9402	3197.8648	31.9786	36369.5056	363.6951
E1T191	1.91	86.3798	0.8638	2385.5378	23.8554	3197.735	31.9773	36358.0855	363.5809
E1T192	1.92	86.47	0.8647	2377.0242	23.7702	3197.6022	31.976	36346.6575	363.4666
E1T193	1.93	86.5625	0.86563	2368.4877	23.6849	3197.4664	31.9747	36335.2236	363.3522
E1T194	1.94	86.6573	0.86657	2359.932	23.5993	3197.3279	31.9733	36323.7859	363.2379
E1T195	1.95	86.7543	0.86754	2351.3605	23.5136	3197.1866	31.9719	36312.346	363.1235
E1T196	1.96	86.8536	0.86854	2342.7763	23.4278	3197.0426	31.9704	36300.9054	363.0091
E1T197	1.97	86.955	0.86955	2334.1824	23.3418	3196.896	31.969	36289.4657	362.8947
E1T198	1.98	87.0587	0.87059	2325.5815	23.2558	3196.7468	31.9675	36278.028	362.7803
E1T199	1.99	87.1646	0.87165	2316.9762	23.1698	3196.5952	31.966	36266.5934	362.6659
E1T200	2	87.2727	0.87273	2308.3689	23.0837	3196.4411	31.9644	36255.163	362.5516
E1T201	2.01	87.3829	0.87383	2299.7618	22.9976	3196.2848	31.9628	36243.7376	362.4374
E1T202	2.02	87.4952	0.87495	2291.1568	22.9116	3196.1262	31.9613	36232.3181	362.3232
E1T203	2.03	87.6097	0.8761	2282.5559	22.8256	3195.9655	31.9597	36220.9052	362.2091
E1T204	2.04	87.7264	0.87726	2273.9607	22.7396	3195.8026	31.958	36209.4995	362.095
E1T205	2.05	87.8451	0.87845	2265.3729	22.6537	3195.6377	31.9564	36198.1018	361.981
E1T206	2.06	87.9659	0.87966	2256.7938	22.5679	3195.4709	31.9547	36186.7125	361.8671
E1T207	2.07	88.0887	0.88089	2248.225	22.4822	3195.3022	31.953	36175.3322	361.7533
E1T208	2.08	88.2136	0.88214	2239.6676	22.3967	3195.1317	31.9513	36163.9613	361.6396
E1T209	2.09	88.3405	0.88341	2231.1227	22.3112	3194.9595	31.9496	36152.6005	361.526
E1T210	2.1	88.4695	0.88469	2222.5914	22.2259	3194.7856	31.9479	36141.25	361.4125
E1T211	2.11	88.6004	0.886	2214.0747	22.1407	3194.6102	31.9461	36129.9103	361.2991
E1T212	2.12	88.7333	0.88733	2205.5734	22.0557	3194.4332	31.9443	36118.5818	361.1858
E1T213	2.13	88.8682	0.88868	2197.0885	21.9709	3194.2548	31.9425	36107.2649	361.0726
E1T214	2.14	89.005	0.89005	2188.6206	21.8862	3194.0749	31.9407	36095.96	360.9596
E1T215	2.15	89.1438	0.89144	2180.1704	21.8017	3193.8938	31.9389	36084.6674	360.8467
E1T216	2.16	89.2844	0.89284	2171.7387	21.7174	3193.7114	31.9371	36073.3874	360.7339
E1T217	2.17	89.427	0.89427	2163.3259	21.6333	3193.5278	31.9353	36062.1205	360.6212
E1T218	2.18	89.5715	0.89571	2154.9328	21.5493	3193.343	31.9334	36050.867	360.5087
E1T219	2.19	89.7178	0.89718	2146.5597	21.4656	3193.1571	31.9316	36039.6271	360.3963
E1T220	2.2	89.8659	0.89866	2138.2072	21.3821	3192.9703	31.9297	36028.4012	360.284
E1T221	2.21	90.0159	0.90016	2129.8758	21.2988	3192.7824	31.9278	36017.1896	360.1719
E1T222	2.22	90.1677	0.90168	2121.5658	21.2157	3192.5937	31.9259	36005.9926	360.0599
E1T223	2.23	90.3213	0.90321	2113.2778	21.1328	3192.404	31.924	35994.8106	359.9481
E1T224	2.24	90.4767	0.90477	2105.0119	21.0501	3192.2136	31.9221	35983.6438	359.8364
E1T225	2.25	90.6339	0.90634	2096.7686	20.9677	3192.0224	31.9202	35972.4925	359.7249
E1T226	2.26	90.7928	0.90793	2088.5483	20.8855	3191.8304	31.9183	35961.357	359.6136
E1T227	2.27	90.9535	0.90954	2080.3512	20.8035	3191.6378	31.9164	35950.2376	359.5024
E1T228	2.28	91.1159	0.91116	2072.1776	20.7218	3191.4445	31.9144	35939.1345	359.3913
E1T229	2.29	91.28	0.9128	2064.0279	20.6403	3191.2507	31.9125	35928.0482	359.2805
E1T230	2.3	91.4459	0.91446	2055.9023	20.559	3191.0563	31.9106	35916.9787	359.1698
E1T231	2.31	91.6134	0.91613	2047.801	20.478	3190.8614	31.9086	35905.9265	359.0593
E1T232	2.32	91.7825	0.91783	2039.7244	20.3972	3190.6661	31.9067	35894.8917	358.9489
E1T233	2.33	91.9534	0.91953	2031.6726	20.3167	3190.4703	31.9047	35883.8747	358.8387
E1T234	2.34	92.1259	0.92126	2023.6458	20.2365	3190.2741	31.9027	35872.8756	358.7288
E1T235	2.35	92.3	0.923	2015.6443	20.1564	3190.0775	31.9008	35861.8948	358.6189
E1T236	2.36	92.4757	0.92476	2007.6683	20.0767	3189.8807	31.8988	35850.9324	358.5093
E1T237	2.37	92.6531	0.92653	1999.7179	19.9972	3189.6835	31.8968	35839.9888	358.3999
E1T238	2.38	92.832	0.92832	1991.7934	19.9179	3189.486	31.8949	35829.0641	358.2906
E1T239	2.39	93.0125	0.93013	1983.895	19.8389	3189.2884	31.8929	35818.1586	358.1816
E1T240	2.4	93.1946	0.93195	1976.0228	19.7602	3189.0905	31.8909	35807.2726	358.0727
E1T241	2.41	93.3783	0.93378	1968.177	19.6818	3188.8924	31.8889	35796.4063	357.9641
E1T242	2.42	93.5634	0.93563	1960.3577	19.6036	3188.6942	31.8869	35785.5598	357.8556
E1T243	2.43	93.7502	0.9375	1952.5653	19.5257	3188.4959	31.885	35774.7336	357.7473
E1T244	2.44	93.9384	0.93938	1944.7997	19.448	3188.2975	31.883	35763.9277	357.6393
E1T245	2.45	94.1282	0.94128	1937.0611	19.3706	3188.099	31.881	35753.1424	357.5314
E1T246	2.46	94.3194	0.94319	1929.3498	19.2935	3187.9004	31.879	35742.3779	357.4238
E1T247	2.47	94.5121	0.94512	1921.6658	19.2167	3187.7018	31.877	35731.6345	357.3163
E1T248	2.48	94.7064	0.94706	1914.0093	19.1401	3187.5032	31.875	35720.9123	357.2091
E1T249	2.49	94.902	0.94902	1906.3804	19.0638	3187.3046	31.873	35710.2116	357.1021
E1T250	2.5	95.0991	0.95099	1898.7793	18.9878	3187.1061	31.8711	35699.5326	356.9953
E1T251	2.51	95.2977	0.95298	1891.2061	18.9121	3186.9076	31.8691	35688.8754	356.8888
E1T252	2.52	95.4977	0.95498	1883.6608	18.8366	3186.7091	31.8671	35678.2404	356.7824
