!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
3.88	60	3.88	20
3.89	60	3.89	20
3.9	60	3.9	20
3.91	60	3.91	20
3.92	60	3.92	20
3.93	60	3.93	20
3.94	60	3.94	20
3.95	60	3.95	20
3.96	60	3.96	20
3.97	60	3.97	20
3.98	60	3.98	20
3.99	60	3.99	20
4	60	4	20
4.01	60	4.01	20
4.02	612.099	4.02	20
4.03	935.3792	4.03	20
4.04	1108.7088	4.04	20
4.05	1184.8859	4.05	20
4.06	1199.1632	4.06	20
4.07	1174.9921	4.07	20
4.08	1127.8947	4.08	20
4.09	1068.072	4.09	20
4.1	1002.16	4.1	20
4.11	487.8482	4.11	20
4.12	1219.6681	4.12	20
4.13	1661.4768	4.13	20
4.14	1912.3061	4.14	20
4.15	2038.5312	4.15	20
4.16	2084.5406	4.16	20
4.17	2074.0262	4.17	20
4.18	2010.7426	4.18	20
4.19	1915.4424	4.19	20
4.2	1803.2252	4.2	20
4.21	1683.8582	4.21	20
4.22	1949.2155	4.22	20
4.23	2393.8281	4.23	20
4.24	2646.4959	4.24	20
4.25	2773.913	4.25	20
4.26	2820.6828	4.26	20
4.27	2806.1275	4.27	20
4.28	2720.5466	4.28	20
4.29	2591.0183	4.29	20
4.3	2438.2317	4.3	20
4.31	2275.5722	4.31	20
4.32	2320.7791	4.32	20
4.33	2854.8057	4.33	20
4.34	3166.1963	4.34	20
4.35	3331.7792	4.35	20
4.36	3402.9794	4.36	20
4.37	3411.3143	4.37	20
4.38	3334.5558	4.38	20
4.39	3192.6919	4.39	20
4.4	3014.9253	4.4	20
4.41	2820.2388	4.41	20
4.42	2080.184	4.42	20
4.43	2852.1323	4.43	20
4.44	3320.4662	4.44	20
4.45	3588.6951	4.45	20
4.46	3726.2092	4.46	20
4.47	3779.4263	4.47	20
4.48	3767.3919	4.48	20
4.49	3659.9362	4.49	20
4.5	3489.8	4.5	20
4.51	3286.0689	4.51	20
4.52	3067.5866	4.52	20
4.53	2704.1437	4.53	20
4.54	3398.8583	4.54	20
4.55	3816.1574	4.55	20
4.56	4050.9256	4.56	20
4.57	4166.7453	4.57	20
4.58	4206.1255	4.58	20
4.59	4170.5163	4.59	20
4.6	4032.13	4.6	20
4.61	3832.2243	4.61	20
4.62	3600.2981	4.62	20
4.63	2794.8574	4.63	20
4.64	3572.5472	4.64	20
4.65	4044.6779	4.65	20
4.66	4315.3988	4.66	20
4.67	4454.5309	4.67	20
4.68	4508.7825	4.68	20
4.69	4494.8835	4.69	20
4.7	4367.8925	4.7	20
4.71	4165.2788	4.71	20
4.72	3922.0568	4.72	20
4.73	3660.9163	4.73	20
4.74	3243.9345	4.74	20
4.75	3959.3237	4.75	20
4.76	4390.2771	4.76	20
4.77	4633.9909	4.77	20
4.78	4755.6043	4.78	20
4.79	4798.6738	4.79	20
4.8	4764.8148	4.8	20
4.81	4612.3012	4.81	20
4.82	4386.9364	4.82	20
4.83	4123.3244	4.83	20
4.84	3843.8344	4.84	20
4.85	3975.676	4.85	20
4.86	4474.813	4.86	20
4.87	4763.2686	4.87	20
4.88	4913.9255	4.88	20
4.89	4975.5528	4.89	20
4.9	4970.2619	4.9	20
4.91	4841.899	4.91	20
4.92	4624.7342	4.92	20
4.93	4359.2839	4.93	20
4.94	4071.8404	4.94	20
4.95	3510.5546	4.95	20
4.96	4195.7026	4.96	20
4.97	4606.6853	4.97	20
4.98	4837.3171	4.98	20
4.99	4950.4596	4.99	20
5	4988.1366	5	20
5.01	4942.0015	5.01	20
5.02	4774.8224	5.02	20
5.03	4535.7461	5.03	20
5.04	4259.4054	5.04	20
5.05	3968.1586	5.05	20
5.06	3676.1751	5.06	20
5.07	3392.183	5.07	20
5.08	3121.3142	5.08	20
5.09	2866.3426	5.09	20
5.1	2628.5131	5.1	20
5.11	2408.0946	5.11	20
