!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E4'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E4T651	6.51	366.3404	3.6634	1200.8691	12.0087	2919.688	29.1969	38384.6185	383.8462
E4T652	6.52	367.8377	3.6784	1194.1889	11.9419	2921.5784	29.2158	38363.9255	383.6393
E4T653	6.53	369.3388	3.6934	1187.5887	11.8759	2923.4113	29.2341	38343.3253	383.4333
E4T654	6.54	370.8436	3.7084	1181.0682	11.8107	2925.1888	29.2519	38322.8187	383.2282
E4T655	6.55	372.3521	3.7235	1174.6272	11.7463	2926.9125	29.2691	38302.4063	383.0241
E4T656	6.56	373.8641	3.7386	1168.2652	11.6827	2928.5843	29.2858	38282.089	382.8209
E4T657	6.57	375.3797	3.7538	1161.9822	11.6198	2930.206	29.3021	38261.8673	382.6187
E4T658	6.58	376.8987	3.769	1155.7777	11.5578	2931.7793	29.3178	38241.742	382.4174
E4T659	6.59	378.421	3.7842	1149.6515	11.4965	2933.3058	29.3331	38221.7138	382.2171
E4T660	6.6	379.9466	3.7995	1143.6034	11.436	2934.7869	29.3479	38201.7832	382.0178
E4T661	6.61	381.4754	3.8148	1137.6331	11.3763	2936.2241	29.3622	38181.9508	381.8195
E4T662	6.62	383.0074	3.8301	1131.7402	11.3174	2937.6188	29.3762	38162.2174	381.6222
E4T663	6.63	384.5424	3.8454	1125.9246	11.2592	2938.9725	29.3897	38142.5835	381.4258
E4T664	6.64	386.0805	3.8608	1120.186	11.2019	2940.2862	29.4029	38123.0497	381.2305
E4T665	6.65	387.6214	3.8762	1114.524	11.1452	2941.5615	29.4156	38103.6166	381.0362
E4T666	6.66	389.1651	3.8917	1108.9385	11.0894	2942.7994	29.428	38084.2847	380.8428
E4T667	6.67	390.7116	3.9071	1103.4291	11.0343	2944.0013	29.44	38065.0548	380.6505
E4T668	6.68	392.2608	3.9226	1097.9955	10.98	2945.1683	29.4517	38045.9273	380.4593
E4T669	6.69	393.8125	3.9381	1092.6375	10.9264	2946.3017	29.463	38026.903	380.269
E4T670	6.7	395.3667	3.9537	1087.3548	10.8735	2947.4025	29.474	38007.9822	380.0798
E4T671	6.71	396.9233	3.9692	1082.1471	10.8215	2948.4718	29.4847	37989.1658	379.8917
E4T672	6.72	398.4823	3.9848	1077.0141	10.7701	2949.5105	29.4951	37970.454	379.7045
E4T673	6.73	400.0434	4.0004	1071.9555	10.7196	2950.5197	29.5052	37951.8476	379.5185
E4T674	6.74	401.6067	4.0161	1066.9712	10.6697	2951.5002	29.515	37933.347	379.3335
E4T675	6.75	403.1721	4.0317	1062.0608	10.6206	2952.453	29.5245	37914.9527	379.1495
E4T676	6.76	404.7394	4.0474	1057.224	10.5722	2953.3789	29.5338	37896.6653	378.9667
E4T677	6.77	406.3085	4.0631	1052.4606	10.5246	2954.2789	29.5428	37878.4853	378.7849
E4T678	6.78	407.8795	4.0788	1047.7703	10.4777	2955.1538	29.5515	37860.4132	378.6041
E4T679	6.79	409.4521	4.0945	1043.1528	10.4315	2956.0044	29.56	37842.4496	378.4245
E4T680	6.8	411.0263	4.1103	1038.6077	10.3861	2956.8315	29.5683	37824.5949	378.2459
E4T681	6.81	412.602	4.126	1034.1349	10.3413	2957.6359	29.5764	37806.8498	378.0685
E4T682	6.82	414.1791	4.1418	1029.7341	10.2973	2958.4183	29.5842	37789.2145	377.8921
E4T683	6.83	415.7574	4.1576	1025.405	10.254	2959.1795	29.5918	37771.6898	377.7169
E4T684	6.84	417.337	4.1734	1021.1472	10.2115	2959.92	29.5992	37754.2759	377.5428
E4T685	6.85	418.9177	4.1892	1016.9606	10.1696	2960.6405	29.6064	37736.9734	377.3697
